"","X","words","total","start"
"1",1,"–",10448,"�"
"2",2,"able",5655,"a"
"3",3,"about",50818,"a"
"4",4,"according",4992,"a"
"5",5,"across",3669,"a"
"6",6,"actually",5999,"a"
"7",7,"add",4215,"a"
"8",8,"added",3330,"a"
"9",9,"after",24522,"a"
"10",10,"again",9744,"a"
"11",11,"against",7807,"a"
"12",12,"ago",5837,"a"
"13",13,"all",54635,"a"
"14",14,"almost",4986,"a"
"15",15,"along",5336,"a"
"16",16,"already",6415,"a"
"17",17,"also",25443,"a"
"18",18,"although",3429,"a"
"19",19,"always",10699,"a"
"20",20,"amazing",3646,"a"
"21",21,"american",4605,"a"
"22",22,"among",3688,"a"
"23",23,"and",451843,"a"
"24",24,"another",11948,"a"
"25",25,"any",15844,"a"
"26",26,"anyone",4580,"a"
"27",27,"anything",5660,"a"
"28",28,"april",3809,"a"
"29",29,"are",83539,"a"
"30",30,"area",4564,"a"
"31",31,"around",12327,"a"
"32",32,"ask",3615,"a"
"33",33,"asked",5163,"a"
"34",34,"available",3215,"a"
"35",35,"away",8144,"a"
"36",36,"awesome",3278,"a"
"37",37,"back",22466,"b"
"38",38,"bad",5653,"b"
"39",39,"beautiful",3746,"b"
"40",40,"because",22276,"b"
"41",41,"become",4643,"b"
"42",42,"been",34225,"b"
"43",43,"before",16417,"b"
"44",44,"behind",3946,"b"
"45",45,"being",14967,"b"
"46",46,"believe",5362,"b"
"47",47,"best",11937,"b"
"48",48,"better",10182,"b"
"49",49,"between",7523,"b"
"50",50,"big",10227,"b"
"51",51,"bill",3542,"b"
"52",52,"bit",6197,"b"
"53",53,"black",4709,"b"
"54",54,"blog",4975,"b"
"55",55,"board",3868,"b"
"56",56,"body",3387,"b"
"57",57,"book",8199,"b"
"58",58,"books",3875,"b"
"59",59,"both",9326,"b"
"60",60,"bring",3898,"b"
"61",61,"building",3325,"b"
"62",62,"business",5985,"b"
"63",63,"but",85109,"b"
"64",64,"buy",3530,"b"
"65",65,"call",6379,"c"
"66",66,"called",6516,"c"
"67",67,"came",7539,"c"
"68",68,"can",41318,"c"
"69",69,"cant",9013,"c"
"70",70,"car",4501,"c"
"71",71,"care",5081,"c"
"72",72,"case",5365,"c"
"73",73,"center",5327,"c"
"74",74,"chance",3289,"c"
"75",75,"change",5205,"c"
"76",76,"check",4322,"c"
"77",77,"children",6177,"c"
"78",78,"city",10361,"c"
"79",79,"class",3977,"c"
"80",80,"close",3949,"c"
"81",81,"college",3561,"c"
"82",82,"come",12665,"c"
"83",83,"comes",4701,"c"
"84",84,"coming",5380,"c"
"85",85,"community",4255,"c"
"86",86,"company",5600,"c"
"87",87,"cool",3295,"c"
"88",88,"could",20093,"c"
"89",89,"country",4371,"c"
"90",90,"county",6430,"c"
"91",91,"couple",4295,"c"
"92",92,"course",5717,"c"
"93",93,"court",4248,"c"
"94",94,"cut",3994,"c"
"95",95,"day",24498,"d"
"96",96,"days",8993,"d"
"97",97,"deal",3668,"d"
"98",98,"death",3386,"d"
"99",99,"decided",3760,"d"
"100",100,"department",3325,"d"
"101",101,"did",17082,"d"
"102",102,"didnt",8271,"d"
"103",103,"different",6611,"d"
"104",104,"director",3244,"d"
"105",105,"does",8571,"d"
"106",106,"doesnt",4948,"d"
"107",107,"doing",7356,"d"
"108",108,"don’t",6338,"d"
"109",109,"done",6909,"d"
"110",110,"dont",18539,"d"
"111",111,"down",15146,"d"
"112",112,"during",8421,"d"
"113",113,"each",9768,"e"
"114",114,"early",5406,"e"
"115",115,"easy",3538,"e"
"116",116,"either",3687,"e"
"117",117,"else",4016,"e"
"118",118,"end",8604,"e"
"119",119,"enjoy",3140,"e"
"120",120,"enough",7356,"e"
"121",121,"especially",3421,"e"
"122",122,"even",19860,"e"
"123",123,"event",3382,"e"
"124",124,"ever",7884,"e"
"125",125,"every",11364,"e"
"126",126,"everyone",6422,"e"
"127",127,"everything",5653,"e"
"128",128,"experience",3818,"e"
"129",129,"face",4377,"f"
"130",130,"fact",4811,"f"
"131",131,"family",9132,"f"
"132",132,"far",5939,"f"
"133",133,"favorite",4000,"f"
"134",134,"federal",3350,"f"
"135",135,"feel",9343,"f"
"136",136,"feeling",3225,"f"
"137",137,"felt",3562,"f"
"138",138,"few",11366,"f"
"139",139,"final",3235,"f"
"140",140,"finally",4046,"f"
"141",141,"find",9569,"f"
"142",142,"first",24395,"f"
"143",143,"five",5065,"f"
"144",144,"follow",5623,"f"
"145",145,"following",3750,"f"
"146",146,"food",6081,"f"
"147",147,"for",182739,"f"
"148",148,"former",4377,"f"
"149",149,"forward",3879,"f"
"150",150,"found",8011,"f"
"151",151,"four",6386,"f"
"152",152,"free",6575,"f"
"153",153,"friday",5252,"f"
"154",154,"friend",4580,"f"
"155",155,"friends",6939,"f"
"156",156,"from",69964,"f"
"157",157,"front",3539,"f"
"158",158,"full",4834,"f"
"159",159,"fun",6040,"f"
"160",160,"future",3688,"f"
"161",161,"game",10655,"g"
"162",162,"games",4756,"g"
"163",163,"gave",3554,"g"
"164",164,"get",34118,"g"
"165",165,"gets",3364,"g"
"166",166,"getting",8051,"g"
"167",167,"girl",4106,"g"
"168",168,"give",8077,"g"
"169",169,"given",3805,"g"
"170",170,"god",6511,"g"
"171",171,"goes",3384,"g"
"172",172,"going",19690,"g"
"173",173,"good",24797,"g"
"174",174,"got",15787,"g"
"175",175,"government",4651,"g"
"176",176,"great",16518,"g"
"177",177,"group",5538,"g"
"178",178,"guy",3566,"g"
"179",179,"guys",4044,"g"
"180",180,"had",43895,"h"
"181",181,"half",4469,"h"
"182",182,"hand",3868,"h"
"183",183,"happy",7853,"h"
"184",184,"hard",6471,"h"
"185",185,"has",48768,"h"
"186",186,"have",91438,"h"
"187",187,"having",6881,"h"
"188",188,"head",5715,"h"
"189",189,"health",4383,"h"
"190",190,"hear",3827,"h"
"191",191,"heard",3424,"h"
"192",192,"heart",4402,"h"
"193",193,"help",9413,"h"
"194",194,"her",40178,"h"
"195",195,"here",16261,"h"
"196",196,"hes",5711,"h"
"197",197,"high",7903,"h"
"198",198,"him",21678,"h"
"199",199,"his",58644,"h"
"200",200,"history",3737,"h"
"201",201,"hit",4555,"h"
"202",202,"home",13684,"h"
"203",203,"hope",7547,"h"
"204",204,"hours",4808,"h"
"205",205,"house",8925,"h"
"206",206,"how",27615,"h"
"207",207,"however",5147,"h"
"208",208,"i’m",6378,"i"
"209",209,"idea",4608,"i"
"210",210,"ill",5720,"i"
"211",211,"important",4105,"i"
"212",212,"including",5955,"i"
"213",213,"information",3858,"i"
"214",214,"instead",4271,"i"
"215",215,"into",25412,"i"
"216",216,"isnt",3330,"i"
"217",217,"it’s",8310,"i"
"218",218,"its",49252,"i"
"219",219,"ive",7639,"i"
"220",220,"job",5988,"j"
"221",221,"john",3902,"j"
"222",222,"just",45417,"j"
"223",223,"keep",8426,"k"
"224",224,"kids",5797,"k"
"225",225,"kind",5577,"k"
"226",226,"knew",3781,"k"
"227",227,"know",24533,"k"
"228",228,"known",3203,"k"
"229",229,"large",3786,"l"
"230",230,"last",21172,"l"
"231",231,"late",3995,"l"
"232",232,"later",6027,"l"
"233",233,"law",4724,"l"
"234",234,"least",6241,"l"
"235",235,"leave",3901,"l"
"236",236,"left",7748,"l"
"237",237,"less",5469,"l"
"238",238,"let",7554,"l"
"239",239,"life",14202,"l"
"240",240,"light",3614,"l"
"241",241,"like",41590,"l"
"242",242,"line",4630,"l"
"243",243,"list",3848,"l"
"244",244,"little",15362,"l"
"245",245,"live",6045,"l"
"246",246,"living",3495,"l"
"247",247,"local",4811,"l"
"248",248,"lol",6195,"l"
"249",249,"long",10654,"l"
"250",250,"look",10305,"l"
"251",251,"looking",7220,"l"
"252",252,"looks",3407,"l"
"253",253,"lost",4268,"l"
"254",254,"lot",9489,"l"
"255",255,"love",20866,"l"
"256",256,"made",15104,"m"
"257",257,"make",21856,"m"
"258",258,"makes",5916,"m"
"259",259,"making",6726,"m"
"260",260,"man",9051,"m"
"261",261,"many",16508,"m"
"262",262,"market",3407,"m"
"263",263,"matter",3223,"m"
"264",264,"may",14514,"m"
"265",265,"maybe",5334,"m"
"266",266,"mean",4071,"m"
"267",267,"means",3923,"m"
"268",268,"meet",3184,"m"
"269",269,"members",3850,"m"
"270",270,"men",3836,"m"
"271",271,"might",8299,"m"
"272",272,"million",7385,"m"
"273",273,"mind",4355,"m"
