"","words","total","phrase","word3"
"1","a bit of",1158,"a bit","of"
"2","a chance to",840,"a chance","to"
"3","a couple of",1971,"a couple","of"
"4","a little bit",1017,"a little","bit"
"5","a long time",764,"a long","time"
"6","a lot of",5502,"a lot","of"
"7","a number of",856,"a number","of"
"8","a part of",735,"a part","of"
"9","a series of",703,"a series","of"
"10","a way to",695,"a way","to"
"11","according to the",1568,"according to","the"
"12","all of the",1426,"all of","the"
"13","all the time",744,"all the","time"
"14","and i am",763,"and i","am"
"15","and i have",861,"and i","have"
"16","and i was",779,"and i","was"
"17","and in the",687,"and in","the"
"18","and it is",646,"and it","is"
"19","and it was",861,"and it","was"
"20","are going to",1021,"are going","to"
"21","as a result",620,"as a","result"
"22","as long as",933,"as long","as"
"23","as much as",1101,"as much","as"
"24","as part of",813,"as part","of"
"25","as soon as",729,"as soon","as"
"26","as well as",2782,"as well","as"
"27","at a time",710,"at a","time"
"28","at the end",1540,"at the","end"
"29","at the same",1042,"at the","same"
"30","at the time",1168,"at the","time"
"31","back in the",623,"back in","the"
"32","back to the",1206,"back to","the"
"33","be able to",2487,"be able","to"
"34","because of the",950,"because of","the"
"35","but it is",676,"but it","is"
"36","but it was",706,"but it","was"
"37","cant wait to",994,"cant wait","to"
"38","do you think",637,"do you","think"
"39","dont want to",855,"dont want","to"
"40","end of the",1742,"end of","the"
"41","for a few",634,"for a","few"
"42","for a while",710,"for a","while"
"43","for me to",699,"for me","to"
"44","for the first",1448,"for the","first"
"45","for the follow",612,"for the","follow"
"46","go to the",802,"go to","the"
"47","going to be",2770,"going to","be"
"48","has been a",815,"has been","a"
"49","have a great",723,"have a","great"
"50","have to be",1066,"have to","be"
"51","he was a",673,"he was","a"
"52","i am a",657,"i am","a"
"53","i am not",1015,"i am","not"
"54","i am so",614,"i am","so"
"55","i decided to",767,"i decided","to"
"56","i dont know",1297,"i dont","know"
"57","i dont think",920,"i dont","think"
"58","i feel like",810,"i feel","like"
"59","i had a",1126,"i had","a"
"60","i had to",1346,"i had","to"
"61","i have a",1805,"i have","a"
"62","i have been",1263,"i have","been"
"63","i have no",663,"i have","no"
"64","i have to",1747,"i have","to"
"65","i hope you",622,"i hope","you"
"66","i love the",654,"i love","the"
"67","i love you",891,"i love","you"
"68","i need to",1250,"i need","to"
"69","i think i",992,"i think","i"
"70","i think it",608,"i think","it"
"71","i think the",611,"i think","the"
"72","i want to",2268,"i want","to"
"73","i wanted to",1236,"i wanted","to"
"74","i was a",713,"i was","a"
"75","i went to",655,"i went","to"
"76","i will be",894,"i will","be"
"77","i would have",691,"i would","have"
