"Dates","Category","Descript","DayOfWeek","PdDistrict","Resolution","Address","X","Y"
"2015-05-13 23:53:00","WARRANTS","WARRANT ARREST","Wednesday","NORTHERN","ARREST, BOOKED","OAK ST / LAGUNA ST",-122.425891675136,37.7745985956747
"2015-05-13 18:58:00","WARRANTS","WARRANT ARREST","Wednesday","MISSION","NONE","1900 Block of MISSION ST",-122.41967661615,37.7658510977435
"2015-05-13 17:37:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","TENDERLOIN","NONE","EDDY ST / LEAVENWORTH ST",-122.414242955907,37.7837240254478
"2015-05-13 16:44:00","WARRANTS","WARRANT ARREST","Wednesday","SOUTHERN","ARREST, BOOKED","4TH ST / MARKET ST",-122.405832474482,37.7857446545609
"2015-05-13 14:05:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","NORTHERN","NONE","3600 Block of LYON ST",-122.44827840533,37.804271887891
"2015-05-13 14:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","INGLESIDE","NONE","0 Block of ATHENS ST",-122.424276475396,37.7272929954166
"2015-05-13 12:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","INGLESIDE","NONE","200 Block of BLYTHDALE AV",-122.420529801066,37.7110023300609
"2015-05-13 11:00:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","INGLESIDE","ARREST, BOOKED","5300 Block of DIAMONDHEIGHTS BL",-122.436266870505,37.7427715592858
"2015-05-12 19:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","CENTRAL","NONE","700 Block of PINE ST",-122.408507461375,37.7910926840668
"2015-05-12 18:18:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Tuesday","MISSION","NONE","MISSION ST / 17TH ST",-122.419515708406,37.7634292328496
"2015-05-12 16:04:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Tuesday","INGLESIDE","ARREST, BOOKED","4100 Block of MISSION ST",-122.429801668764,37.7303819548591
"2015-05-12 01:40:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","RICHMOND","ARREST, BOOKED","4700 Block of GEARY BL",-122.470190415901,37.7808757916602
"2015-05-11 22:12:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Monday","MISSION","JUVENILE BOOKED","2100 Block of MISSION ST",-122.419470488515,37.7622701739914
"2015-05-11 21:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Monday","SOUTHERN","NONE","2ND ST / FOLSOM ST",-122.396707150502,37.7855429503041
"2015-05-11 20:48:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Monday","TENDERLOIN","ARREST, BOOKED","200 Block of TURK ST",-122.413237516676,37.7828430233213
"2015-05-11 20:19:00","WARRANTS","WARRANT ARREST","Monday","TENDERLOIN","ARREST, BOOKED","100 Block of TURK ST",-122.411593095704,37.7830529510782
"2015-05-11 20:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Monday","TARAVAL","NONE","300 Block of ASHTON AV",-122.462349207147,37.7250992096064
"2015-05-11 18:58:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Monday","INGLESIDE","ARREST, BOOKED","4900 Block of MISSION ST",-122.438695075365,37.7196920262929
"2015-05-11 18:27:00","WARRANTS","WARRANT ARREST","Monday","BAYVIEW","ARREST, BOOKED","1100 Block of FITZGERALD AV",-122.39036028161,37.7205064590363
"2015-05-11 18:02:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Monday","SOUTHERN","ARREST, BOOKED","0 Block of DORE ST",-122.412933062384,37.7739274524819
